FACEREC2_W99,FACEREC2_W99_explanation,FACEREC4_W99,FACEREC4_W99_explanation,FACEREC5_W99,FACEREC5_W99_explanation,FACEREC7_W99,FACEREC7_W99_explanation,FACEREC9_W99,FACEREC9_W99_explanation,FACEREC10_W99,FACEREC10_W99_explanation,DCARS2_W99,DCARS2_W99_explanation,DCARS5_W99,DCARS5_W99_explanation,DCARS6_W99,DCARS6_W99_explanation,DCARS7_W99,DCARS7_W99_explanation,DCARS9_W99,DCARS9_W99_explanation,DCARS10_W99,DCARS10_W99_explanation,BCHIP2_W99,BCHIP2_W99_explanation,BCHIP5_W99,BCHIP5_W99_explanation,BCHIP6_W99,BCHIP6_W99_explanation,BCHIP7_W99,BCHIP7_W99_explanation,BCHIP11_W99,BCHIP11_W99_explanation,BCHIP12_W99,BCHIP12_W99_explanation,GENEV2_W99,GENEV2_W99_explanation,GENEV3_W99,GENEV3_W99_explanation,GENEV5_W99,GENEV5_W99_explanation,GENEV6_W99,GENEV6_W99_explanation,GENEV7_W99,GENEV7_W99_explanation,GENEV10_W99,GENEV10_W99_explanation,EXOV2_W99,EXOV2_W99_explanation,EXOV3_W99,EXOV3_W99_explanation,EXOV6_W99,EXOV6_W99_explanation,EXOV7_W99,EXOV7_W99_explanation,EXOV9_W99,EXOV9_W99_explanation,EXOV10_W99,EXOV10_W99_explanation
Bad idea for society,I think it's invasion of people's privacy and nothing should be scanned,Not make much difference,It might not always be right and they could be targeting the wrong people,Stay about the same,"I don't think that criminals will care about this. If they wanna do something, they're gonna do it",Government will go too far regulating its use,Government gets too far into things and should just leave some alone,People should have a right to privacy when they are in public spaces,"Everyone should be able to have privacy when they're out or inside, but sadly that's not how the world works anymore",No,There still needs to be proof and evidence and not just relying on some technology that could be wrong,Bad idea for society,I don't want robot cars driving anywhere by themselves. They are not trustworthy to not have accidents,Not make much difference,"People who have more money will be able to get these kinds of things instead of people making less, but I don't know if that matters about the gap",Increase the number of people killed or injured in traffic accidents,I'm sure there will be more accidents with these bot cars because they can't always be trusted to do what's right. I'd rather have a real person driving,The vehicle’s passengers,"The people inside need to be protected because they are about to have the accident, probably because of the self driving car",Government will go too far regulating their use,"The government likes to get in the middle of everything and usually do the wrong thing, so I'm sure they will do what's best for themselves",A higher standard than used for regular passenger vehicles,It's not a real person driving so there needs to be more safety involved for everyone,Bad idea for society,"Computers in the brain is just not good, a lot of bad can happen and no one knows the aftermath of all this either",This idea is meddling with nature and crosses a line we should not cross,"We just need to stick to how things are, don't mess with computers and brains. This isn't terminator",Not feel pressure to get this,"I don't think people are going to rush to get things put in their brains, well I hope not at least. There's a lot that can go wrong",Worse than now,"Just because it says it can do something, doesn't mean it will. There's not enough testing to know the long term effects of this",Government will go too far regulating their use,"The government will do what's best for them as always, not what's right",A higher standard than used for medical devices,There's not enough information out there about what happens later on so this needs to be testing a lot more first over a long term,Bad idea for society,This sounds pretty bad and like a horror scifi movie. Nothing should be changed about a baby or person,"No, I would definitely NOT want this for my baby",This sounds pretty horrible and I wouldn't want to do this to any babies,This idea is meddling with nature and crosses a line we should not cross,Leave the babies alone to grow how they're supposed to. Don't try and play crazy scientist with this stuff,Not feel pressure to get this for their baby,I would hope a lot of people would have more common sense and not do this to babies,Worse than now,"No one knows what will happen if you mess with these things, but I'm sure it can't be good and it's not natural",Government will go too far regulating their use,They will do what they need to so it works for them,Bad idea for society,Robots are never a good idea and it's just going to turn into terminator times if we keep making more,Definitely NOT want,I don't trust them to not make mistakes or do something they shouldn't. Have actual humans do the work,Worse than now,"Something could happen while wearing it or it could malfunction too, i don't think it's too safe","Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost",Not everyone is the same so why only make it for certain bodies? that makes no sense,Government will go too far regulating their use,Government will use it to their benefit i'm sure,A higher standard than used for workplace equipment,There needs to be more safety tests and a lot of them before this should be used
Good idea for society,would make it easier to find crimanals,More fair,they would know they have the right person,Decrease in the U.S.,people would be careful of what they do because they know they would get caught,Government will not go far enough regulating its use,government would not approve it,People should assume they are being monitored when they are in public spaces,if your being watched you wont do a crime,Yes,"then when they get ids should clear an innocent person",Bad idea for society,i dont trust them,Not make much difference,really would not make a difference,Increase the number of people killed or injured in traffic accidents,these cars have made mistakes,The vehicle’s passengers,should protect passengers,Government will go too far regulating their use,government will use for war,A higher standard than used for regular passenger vehicles,need to test test and test again,Refused,would never do that,This idea is meddling with nature and crosses a line we should not cross,God is in charge not man,Refused,would refuse,Refused,would still refuse,Government will go too far regulating their use,government would use as weapon,Refused,hopefully their not that stupid,Bad idea for society,leave it to God,"No, I would definitely NOT want this for my baby",would not do this,This idea is meddling with nature and crosses a line we should not cross,it is going where we should not go,Refused,i would refuse,About the same as now,i don't think it would work,Government will go too far regulating their use,gov. would use for war,Bad idea for society,just dont like that,Definitely NOT want,i would not use,Better than now,better for workers,Not sure,dont know,Refused,dont know,A higher standard than used for workplace equipment,need testing in work places
Good idea for society,This will help locate criminals or lost persons.,Less fair,It makes it less fair because it intrudes privacy.,Decrease in the U.S.,More people are aware of themselves being recorded so they would be less likely,Government will go too far regulating its use,They will use it beyond just find it for criminal and just track people in general.,People should assume they are being monitored when they are in public spaces,Majority of people are already being tracked through their smartphones so being tracked with facial recognition wouldn't be too far off.,No,"Things like this should be checked by a person along with the program flagging it because there could be mistakes. Similar to how red light cameras work, there could always be mistakes.",Good idea for society,"It allows more free time for the person travelling, however this would require everyone adopting and not just special ones who could afford the feature.",Decrease the gap between higher and lower-income Americans,Everyone would be on equal group in terms of travelling.,Decrease the number of people killed or injured in traffic accidents,"If everyone is driven by a computer and follows the traffic laws with less human intervention, there'd be less mistakes.",Not sure,"Both person inside and outside lives are valuable, this would be hard to determine.",Government will not go far enough regulating their use,Government will take too long to make decisions and end up costing the tax payers.,A higher standard than used for regular passenger vehicles,"It will be driven by software created by private companies that could potentially end a human life, this would require more serious attention that a simple social media website risk.",Bad idea for society,"Too many potential risk in damaging the person as well as being hacked, the person has no ability to shut down the chip.",This idea is meddling with nature and crosses a line we should not cross,This does not augment but rather hinder the person. Especially since we can't even completely trust smartphones made from other countries yet. There will definitely be fake ones that floods the market.,Not feel pressure to get this,"Too many risk factors involved, this is a big decision as getting surgery. It should be a last resort at attempting to save a life, not a daily life improvement decision such as cosmetic surgery.",Worse than now,The human brain would not be able to keep up the processing power required and become overloaded.,Government will not go far enough regulating their use,Once again they will become too slow to agreeing any motions and will cost human lives.,A higher standard than used for medical devices,"Similar to self-driven cars, this could affect someone's life and thus require more serious attention to the matter.",Good idea for society,"If the parents agreed to such procedure, it would definitely help the overall population over time.","Yes, I would probably want this for my baby","Assuming no complications and cost are affordable, this would greatly improve the quality of life for the baby.","As humans, we are always trying to better ourselves and this idea is no different","The baby has not even been born and should not suffer their risk of health conditions, if it could be prevented, this would greatly help improve.",Feel pressure to get this for their baby,"Everyone wants their offspring to become the best, so if the option was presented, it could put some pressure in them considering this.",Better than now,"If it could reduce serious health conditions and the success rate was high enough, many newborns would be better off.",Government will go too far regulating their use,They might regulate it too much with too many conditions that not many will get a chance to meet the requirements.,Good idea for society,This would help the elderly with their failing body.,Probably NOT want,"My reservation is if the exoskeleton is removal or not, if it was permanent then it might be a bit troublesome. The advantages definitely would be great, but if it was only when I need it.",Worse than now,Those who could afford it would be able to advance more into their career while those who can't would suffer with even less pay because they can't do as much.,"Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost","It should be equal for everyone, similar to how shoes are made to fit everyone given different sizes.",Government will not go far enough regulating their use,It will spread like wildfire and government will not act fast enough to contain it.,Existing standards used for workplace equipment,"It should be similar to having a license to operate heavy machinery, where the users should be qualified to use such technology. Current standards have this in mind for the workers safety."
Good idea for society,Facial recognition is a good idea for society because it help relevant authorities to catch criminals,More fair,It makes it more fair because there will be less case of mistaken identity,Decrease in the U.S.,It would decrease because criminals will be scared of their identity being revealed,Government will go too far regulating its use,my greatest concern its will the technology be used solely for what it was created for and not for other purposes,People should assume they are being monitored when they are in public spaces,when people feel monitored the will definitely act accordingly,Yes,yes they should be arrested for further investigations,Bad idea for society,its a bad idea for society because machines cant make decisions on the road like humans,Not make much difference,it won't make much difference because only those who can afford the car will purchase it,Increase the number of people killed or injured in traffic accidents,it will Increase the number of people killed or injured in traffic accidents because machines are not humans,Those outside of the vehicle,the lives of people outside of the vehicle are precious than the vehicle itself,Government will not go far enough regulating their use,The government might not make enough regulations due to personal gains,A higher standard than used for regular passenger vehicles,A higher standard because machines are not to be totally trusted with lives,Bad idea for society,using human brains as experiments doesnt sound well to me,This idea is meddling with nature and crosses a line we should not cross,It might lead to serious issues for the person,Not feel pressure to get this,Most people would be scared to get it,About the same as now,i dont believe it would make any difference,Government will not go far enough regulating their use,if strict regulations are not put in place people will start using it for destructive purposes,A higher standard than used for medical devices,to avoid complications,Good idea for society,For the safety of the baby its a good idea,"No, I would probably NOT want this for my baby",I would definitely want a natural baby,This idea is meddling with nature and crosses a line we should not cross,Complications from this might kill the baby,Not feel pressure to get this for their baby,Most parents will be scared of any complication that might come from it,About the same as now,it does not affect quality of life in any way,Government will not go far enough regulating their use,Government will not go far enough regulating their use due to reasons best known to them,Good idea for society,Reduces the number of hours spent doing a task,Definitely want,It will definitely save a lot of time,Worse than now,Because it might reduce the numbers of workers being needed for tasks,It’s okay to make robotic exoskeletons that just fit the typical body types of manual labor workers in order to lower the cost,lower cost,Government will not go far enough regulating their use,Government will not go far enough regulating their use which might lead to it being used for illegal works,A higher standard than used for workplace equipment,A higher standard to guarantee safety
Bad idea for society,"The constant scanning will mean my face ends up in databases I have no control over, we dont need this data.",More fair,It will make police lazier and more efficient at the same time.,Decrease in the U.S.,"Crime is broadly decreasing, but with the continued debasement of our currency, this short term trend is under threat.",Government will not go far enough regulating its use,"Gov will always be behind what is needed, and inefficient. Sometimes that benefits us and sometime it doesn't",People should assume they are being monitored when they are in public spaces,"Cameras and storage are cheap now and we have a built in spy device in every pocket, assume they are watching and listening to everything.",Yes,"Probable cause is just that, let the courts figure it out.",Good idea for society,"People are abjectly terrible at driving, 40,000 or more killed on the roads every year, more than that maimed. This will be great for us.",Not make much difference,"Driving will be cheaper as it is electrified, but also if you don't want smells or puke in your Johnny Cab you will still have your own car.",Decrease the number of people killed or injured in traffic accidents,"Decrease a ton, a lot of people driving now should not be, but we structured our entire society around driving and its incredibly hard to exile people from it.",Those outside of the vehicle,"Inside passengers are already heavily protected with multiple airbags and crumple zones, people outside the car, if not protected by some other mechanism will pretty much die as borne out by pedestrian vs vehicle speed fatality data.",Government will go too far regulating their use,"As data from current driver assist systems coverage in the news, DAS are treated like they should eliminate all accidents and deaths, when in reality they should only have to be shown they are more safe on average than a human, thus they can be employed whenever that happens.",Existing standards used for regular passenger vehicles,Treat the DAS and driver the same as a regular driver and car today.,Good idea for society,"We really suck as humans processing information, this will help us compete with computers.","As humans, we are always trying to better ourselves and this idea is no different","It will come weather we like it or not, might as well think ahead of it.",Not feel pressure to get this,"It would seem like it will be pressured to keep your job, but AI itself will go even faster and most models will not even need us connected to them.",Better than now,"Most people are not very cognitively gifted, this would be a great improvement to the average.",Government will go too far regulating their use,"If the FDA has anything to say about it, we will always be 10 years or more behind.",Existing standards used for medical devices,Medical device regulation is already extremely regulated.,Good idea for society,"You do not even need to edit genes, mere embryo selection can generate extremely powerful selection effects. This is good, less diseases we do not need. As long as we do not turn into a monocrop that is vulnerable to one thing, be it parasite, germ, or virus we should be ok.","Yes, I would definitely want this for my baby","Healthy, fit, smart kid? Hell yeah bring it on.","As humans, we are always trying to better ourselves and this idea is no different",Care for our young is paramount to a functioning society.,Not feel pressure to get this for their baby,"They will not feel pressure, but they will WANT to do it anyway.",Better than now,You do not know how good society can be if we do not have to babysit the bottom 10% of people who actively make life worse for everyone. You will be fucking AMAZED at what society can be.,Government will go too far regulating their use,"Probably too far, as I do not see us meatbags being compute efficient enough to be farmed or exploited past about 2040. We will be free to do whatever while the computers take over.",Good idea for society,Super strength without the drawbacks? Power loaders for everyone? Yes please!,Definitely want,This would rock so hard. I would get one for my backyard just to play with.,Better than now,"The nazzie Germans glorified manual labor, and for a small percentage of the time I agree with them, we can always choose to do this if we want for special occasions but I wont feel sad if I or someone else never has to move a couch up a bunch of stairs again.",It’s okay to make robotic exoskeletons that just fit the typical body types of manual labor workers in order to lower the cost,"The market will design these things, don't worry too much about demographics.",Government will go too far regulating their use,"They will probably regulate these so gangs don't do drive by massacres, but a government never met a technology they didn't want to try and control.",Existing standards used for workplace equipment,There is a tremendous amount of liability in existing workplace standards.
Not sure,"I could see this being a good thing, but I could also see people being mistaken for other people and getting blamed for crimes they didn't commit.",Not make much difference,No really sure if this would make it more fair or less fair because of the possible mistakes..,Decrease in the U.S.,I think it would deter people from committing crimes.,Government will not go far enough regulating its use,Who knows what companies will use this technology for,People should assume they are being monitored when they are in public spaces,"There are cameras everywhere, so we have to assume that if we are in a public area we will be on camera",Yes,"Yes, but it will have to be a clear picture and make sure it was not edited.",Bad idea for society,I can see more accidents happening,Not make much difference,I don't see how it would make a difference in the gap.,Increase the number of people killed or injured in traffic accidents,I think that there will be errors with technologies which will lead to more accidents.,The vehicle’s passengers,I would think it would prioritize the safety of the people in the car.,Government will not go far enough regulating their use,I would hope the government would put an end to the driverless vehicles if there were alot of accidents.,A higher standard than used for regular passenger vehicles,I think a higher standard is necessary to ensure the technology doesn't fail.,Bad idea for society,I believe it's wrong to do this. It can lead to government control.,This idea is meddling with nature and crosses a line we should not cross,"I agree, I think it's against God and unnatural to do this.",Feel pressure to get this,I think too many people are concerned about the latest technological trends.,Worse than now,I think the chip would do the thinking.,Government will not go far enough regulating their use,I feel like this will give the government control over our minds and boodies.,A higher standard than used for medical devices,I don't think this should be tested at all,Bad idea for society,This is against God. No way should this happen.,"No, I would definitely NOT want this for my baby",I would go with God's plan.,This idea is meddling with nature and crosses a line we should not cross,This definitely crosses the line. We should not design humans.,Feel pressure to get this for their baby,I think parents would feel pressure because they would try to eliminate the risks of having a sick child.,Worse than now,I think people wouldn't appreciate the miracle of birth as much.,Government will not go far enough regulating their use,Government might wipe our entire genetics,Good idea for society,This could help with building structures and even saving lives.,Probably NOT want,I don't see the need for it personally,Better than now,Dangerous jobs might be safer,It’s okay to make robotic exoskeletons that just fit the typical body types of manual labor workers in order to lower the cost,I think only fit individuals should operate these machines,Refused,I don't have any concern,A higher standard than used for workplace equipment,We need to ensure the devices do not fail and injure individuals.
Not sure,"I think it could be very useful in some cases, such as dangerous criminals, or help locate lost children or people. But I think there are other ethical concerns to consider and how easily this could be abused.",Less fair,I think there would be ethical concerns as well as concerns on how this could easily be abused.,Stay about the same,"In situations where the law is broken, most people will go on to be repeat offenders regardless.",Government will not go far enough regulating its use,I cannot imagine a situation where the government would overregulate itself for any reason. I can only imagine the abuse of such technology.,People should assume they are being monitored when they are in public spaces,"In most instances, you are recorded in public, and that is widely known and advertised to prevent crime.",No,"That would completely go against our judicial system of "" innocent until proven guilty."" That is not enough to prove that someone did something. There's also the case of how accurate the system is because there are identical siblings and people who look very similar.",Bad idea for society,I don't think this is safe.,Increase the gap between higher and lower-income Americans,I think this use would be mostly in those who are upper middle class and higher.,Increase the number of people killed or injured in traffic accidents,"I don't think it would be as efficient as human drivers, and malfunctions and hackers are possible.",Those outside of the vehicle,"I believe if this were to become widespread, the car would protect the passengers, but I think those people took the risk of using said car, and the other people did not.",Government will not go far enough regulating their use,I do not think there is a way to protect society in fully this situation but I think human error is easier to accept than a technological error.,A higher standard than used for regular passenger vehicles,There will not be humans to double-check the technology depending on the design of the car/ safety features.,Bad idea for society,This just does not seem ethical,This idea is meddling with nature and crosses a line we should not cross,This idea makes me very uncomfortable. It feels wrong.,Feel pressure to get this,"I think that, in a competitive nature, most people will not want to fall behind.",About the same as now,You process quickly but i think that would still allow a big gap for impulse and some judgments and decisions should not be made alone.,Government will go too far regulating their use,"I think when it comes to healthcare, the government likes to regulate heavily, and I would consider this procedure a healthcare concern.",A higher standard than used for medical devices,"The brain is very important to survival, and we still do not know everything about it.",Not sure,I am not sure how necessary this is when processes like IVF allow you to do this without medically engineering humans,"No, I would probably NOT want this for my baby","This is concept is nice, but what are the consequences",This idea is meddling with nature and crosses a line we should not cross,I do not think genetically engineering humans is a good idea.,Not feel pressure to get this for their baby,"I think some people may feel pressure, but I think the great majority who fear for the health of their baby would just go through IVF",About the same as now,I am not sure as in theory it would be better but messing with DNA would probably be unpredictable,Government will go too far regulating their use,The government tends to overregulate healthcare.,Good idea for society,I think this could possibly greatly help those with missing limbs or compromised spins.,Probably NOT want,I would want to be in complete control of my body,Worse than now,"I think, in theory, it would make it easier for them, but in response, employers will try to compensate for work then becoming easier. with longer hours, fewer breaks, and shorter br,eaks etc","Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost",I don't understand why they wouldn't make it more universal. More universal equals more customers and body shapes outside of the typical worker might even appreciate the tech more,Government will not go far enough regulating their use,I don't think the government would be too concerned with this in the workplace,A higher standard than used for workplace equipment,It is a new technology so standards will have to be revised
Not sure,"I think it depends entirely on who is wielding that sort of power. The tech is obviously something bad in terms of privacy, but at the same time it might detect killers.",More fair,It might actually help in situations in which there are complaints about potential criminals and even the police.,Stay about the same,I think crime would evolve to match the tech.,Government will not go far enough regulating its use,"The government would need to regulate it extensively to prevent abuses. It won't stop all abuses, but it will help reduce risk.",People should assume they are being monitored when they are in public spaces,People should always assume that someone is watching them these days. It doesn't matter if it's government cameras or individual cell phones.,No,The technology should only ever be used in a supportive evidence capacity.,Bad idea for society,"The tech is already so iffy that robo taxis are being shut down. I've studied AI long enough to know that when you teach AI systems behave like the worst people in society, it's not wise to let those same systems control vehicles.",Not make much difference,I think it will eventually trickle down to low-income Americans. It will initially be only for the rich and then spread.,Not make much difference,"I think hackers and terrorists, if not the tech itself, will find a way to use the vehicles as weapons of mass destruction.",Not sure,"It should prioritize the safety of everyone. If that's not possible, then it should focus on pedestrians since passengers are more likely to be safer inside of the vehicle than humans without body armor.",Government will not go far enough regulating their use,Government needs to always regulate. Businesses care only about their bottom lines. The tech is already getting away from everyone and it's extremely dangerous.,A higher standard than used for regular passenger vehicles,AI systems need new safety standards and better ones than the ones used for humans.,Not sure,I think this again opens the door to allow AI systems and bad human agents control of people.,This idea is meddling with nature and crosses a line we should not cross,It crosses a line because we already know that plastics damage human cells. Computer chips in the brain would also like generate heat or fields that could cause brain damage.,Feel pressure to get this,"There would be a lot of social and societal pressure, especially if the tech was tied to gaining or retaining a job or having a higher paying one.",About the same as now,This is impossible to guess. There's no way of knowing until the tech is designed and spreads to a large enough group of people to create a representative sample.,Government will not go far enough regulating their use,This type of technology needs to be heavily regulated. Big Tech bros. aren't thinking about helping people. They are trying to make money and gain fame. Government oversight is a necessity.,A higher standard than used for medical devices,"There's absolutely no way to know what might happen, but what is clear is that the technology is dangerous. It's also going to be far more complex than current medical devices. Standards must be higher.",Good idea for society,"I think it's a good idea, BUT I think there will be a lot of social and religious blowback. People today can't even accept that Downs Syndrome is a birth defect, for example.","Yes, I would definitely want this for my baby","I was born with a lot of hereditary health problems. If a god or gods exist, then the knowledge about how to do this type of thing would come from a higher power. So, anyone who says it's unnatural needs to consider that possibility.","As humans, we are always trying to better ourselves and this idea is no different",This is exactly it. Why punish children and parents with a lifetime of health issues from defects that could be fixed before birth and then the child could more quickly heal from than when older?,Feel pressure to get this for their baby,"Sadly, there would be pressure from health insurers looking to reduce costs over a person's lifetime, BUT health systems looking to make money off health issue would try to convince people to reconsider; unless they make money off of offering the service at a high cost. That said, society would like pressure parents to not do it.",About the same as now,"I think the subsequent conflicts caused by people sticking their noses into other people's business about this topic would cause strife and possibly even a war. I think that it would improve the health and wellbeing of people, both babies and parents, BUT society would be split and cause quality of life problems.",Government will not go far enough regulating their use,"I think the government would waffle a lot because politicians need voters and, so, they would attempt to attract both sides of the argument, which means that the government might not regulate enough.",Good idea for society,"As long as the technology works correctly, I think it would be a great idea. At least in Alien movie franchise, it served Ripley well both before and after coming into contact with the Alien.",Probably want,"If it could help make life easier and wouldn't glitch and kill me, then, yes, I'd love to have something like that to protect my body from lifting too much weight.",About the same as now,I think companies would find a way to increase workloads to unreasonable levels at half pay or some equally horrendous scenario.,"Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost","Obviously, multiple body types need to be taken into consideration to prevent accidental harm caused by having the wrong fit.",Government will not go far enough regulating their use,"As with everything, the government rarely regulates enough. This is one of those areas that unions would also be needed.",A higher standard than used for workplace equipment,"Standards are so low right now. Anything above current standards would be better, especially for tech that is heavy and could cause harm."
Bad idea for society,"I think it would end up being used for other reasons.  It could be used to stalk someone, find out where people are such as the January 6th fiasco and a host of other reasons.",Less fair,"I think it could be used to target certain individuals.  It could be used to follow people around, see where they go, who they are affiliated with, and how often they visit certain places.",Stay about the same,I can't see crime reducing just because of facial recognition.  Most large cities already have camera's everywhere and crime is still out of control.  Most criminals don't care because they know nothing is going to happen to them.  Maybe a slap on the wrist.,Government will not go far enough regulating its use,I see government using facial recognition for their own gain.  If they would have had facial recongnition at the January 6th event they would have put everyone in prison.  They would go after every person who disagrees with them.  I am talking about the Biden administration doing this.,People should assume they are being monitored when they are in public spaces,"There are already camera's everywhere.  People should always assume they are being monitored in stores, on streets, in public spaces such as parks.",Yes,They should go ahead and arrest them and then have to prove their case beyond a doubt.,Good idea for society,I think they will be good for society.  With driverless cars there won't be any speeding.  There won't be any distracted drivers on their cell phones.  I think it will cut down on wrecks and fatalities.,Decrease the gap between higher and lower-income Americans,I believe that after a few years it will be made accessible to everyone.  I think once it catches on that affordable cars will be made.,Decrease the number of people killed or injured in traffic accidents,"I think traffic accidents and the number of people killed will go down.  There will be no more speeding, no more idiots on their cell phones, no more distracted drivers.  No more drunk drivers or people high on drugs behind the wheel.",Those outside of the vehicle,Those outside of the vehicle because the people in the vehicle should be buckled in and have a better chance of not being hurt.,Government will go too far regulating their use,Somehow I am sure the government will go to far in telling people how they are allowed to use the driverless cars.  They will also try to tax it to death and make it unattainable for the average person.,Existing standards used for regular passenger vehicles,The existing standards used for regular passenger vehicles would be fine.  What causes most deaths and injuries is the fact that people are speeding when they creash.  With the driverless cars this won't be a problem.,Bad idea for society,I would not want one because I don't know what it would do.  Could the government use it to monitor certain people?  Could they track you?  What kind of information would I be able to process more quickly?,This idea is meddling with nature and crosses a line we should not cross,I think we are trying to alter people too much.  We are trying to do things that just aren't natural such as computer chip implants for learning and processing information.  I think they are great for people who are paralyzed but I think using them just so you can process information quicker is nonsense.,Feel pressure to get this,I think the younger generation would feel pressure to get this just so they can compete with others.  It would give them an advantage over the older generation.,Worse than now,They would be going by the chip implants and not making the decisions on their own.  I think they would quit thinking for themselves.,Government will go too far regulating their use,Government will use it to their advantage.  So they will put the regulations in place that favors their agenda.,A higher standard than used for medical devices,It is a fairly new process so it should be held to a higher standard.  When you are implanting anything in the brain you should be testing as much as possible.,Bad idea for society,"I think at this point doctors are just playing God.  People will use this to decide the sex of the baby, what the baby looks like, eye color, etc.  I find it disturbing.","No, I would definitely NOT want this for my baby",I don't think that we are far enough advanced to do something like this.  I think it will have repurcussions and again it is someone trying to play God.  I think it goes against nature.,This idea is meddling with nature and crosses a line we should not cross,"We need to leave nature alone.  All of this mutating of diseases, brain chip implants, gene editing is going against the laws of nature and I find it frightening.",Not feel pressure to get this for their baby,"I don't think most people would be able to afford it.  I think it would be for the rich and elite only,   Like most things in society you would have to be rich for this to be offered to you.",About the same as now,I don't think it would make a difference.  If it was successful who is to say there wouldn't be a new  thing that would pop up such as COVID that would kill this person.,Government will not go far enough regulating their use,I think the Government would not regulate it enough and doctors and scientists would go crazy with it.  They would expand it to do whatever they want.,Good idea for society,I think it would help workers in manual jobs and take the stress and toll off of their bodies.,Definitely want,Yes.  As you age you lose muscle mass so this would be great for older people to be able to continue doing things they need to do.  Such as work around their house or even in a job at an older age.,Better than now,Less stress and tear on their bodies.  So it would be great.  So much work could get done but not at the expense of the manual laborer.,"Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost",I think they should be made to fit everyone.  I don't think a certain typical body type would be fair to all who needs one.,Government will go too far regulating their use,I think they would be fairly regulated by the government.  I don't see how they could go too far with their regulations in this instance.,A higher standard than used for workplace equipment,Since they are new I would expect a higher standard than there is now.  It should be made for everyone and also work the way it should.
Not sure,"I think there are pros and cons to this type of technology. I think it would absolutely benefit law enforcement when it comes to finding those who committed. Facial recognition would make this task easier and quicker to accomplish, but this comes at the expense of invading other people's privacy.",More fair,Using facial recognition could reduce chances of blaming innocent people for a crime.,Decrease in the U.S.,I think it might decrease if criminals know that they are being monitored and that there is a greater chance of them being caught by law enforcement.,Government will go too far regulating its use,I would be concerned about the government using this kind of technology for more than finding people who committed a crime. I would be concerned about the government using it to invade my privacy through tracking my whereabouts.,People should assume they are being monitored when they are in public spaces,"I think people are being monitored in public spaces for the most part, which isn't necessarily a bad thing if it makes criminals think twice about committing a crime, but I also think there should be some level of privacy in public places.",No,It is very good evidence for an arrest but should not be the only evidence as programs can always be wrong.,Good idea for society,It would only be a good idea for society if these types of cars are rigorously tested for passenger and bystander safety.,Not make much difference,I don't think it would make much of a difference because there will always be people of all incomes who want regular (driver) cars.,Increase the number of people killed or injured in traffic accidents,"Unless there is rigorous safety testing of these vehicles, I think the widespread use of these cars will increase the number of people killed or injured in traffic accents.",Not sure,"This is a tough question. I'm not sure of this, unless there was an obvious middle ground where the safety of both parties is prioritized..",Government will not go far enough regulating their use,"I don't think the government will do enough testing of these cars for safety, as there have already been accidents reported associated with these cars on the streets.",A higher standard than used for regular passenger vehicles,"Because these cars are run by a computer program, there should be more testing and training done to ensure the program works as it should.",Bad idea for society,There is absolutely no need to implant computer chips in the brain when we have computers already.,This idea is meddling with nature and crosses a line we should not cross,I think we would definitely be crossing some imaginary line. There are many movies depicting how a scenario such as this would go very wrong.,Not feel pressure to get this,I think this idea may be too intense for most people and would be too expensive for most people to even consider.,Worse than now,"I'm not sure how the chip would process information, but a lot of our decision-making processes are determined by internal factors (like emotions), and ""gut feelings"". If the chip can't consider these factors, I think judgement would be less ""human"".",Government will not go far enough regulating their use,I foresee that very rich people will be using the chips for illegal/non-ethical purposes because the government will not be able to regulate the use.,A higher standard than used for medical devices,This would be a more complex medical device and so higher standards should be used to test it.,Good idea for society,"I think, for the most part, this would benefit society by reducing the likelihood of babies developing diseases for which there is no cure, or for which would greatly negatively impact their day to day lives.","Yes, I would probably want this for my baby",I think I would want this for my baby knowing the emotional and mental toll any given serious disease would have on them for the rest of their lives.,"As humans, we are always trying to better ourselves and this idea is no different",I think this would be considered as barely crossing a line. I think this would mostly better ourselves.,Not feel pressure to get this for their baby,"I think some parents would think this is crossing a line based on religion etc, so I don't think most people would feel pressure to get this.",Better than now,Using gene editing to reduce chances of developing serious diseases would allow people to live longer without health issues and with higher quality of life.,Government will not go far enough regulating their use,Something like gene editing should be regulated such that more obvious ethical issues are avoided.,Good idea for society,I can't think of why this would be a bad idea for society unless people are using the exoskeletons to commit crimes.,Definitely want,I would want to use this because it would expedite manual work.,About the same as now,I don't see why conditions for workers would change with the use of robotic exoskeletons.,"Robotic exoskeletons should only be made if they fit a wide range of worker body types, even if that increases their cost",I think it would be fairer to design exoskeletons to fit a variety of body types as it will only benefit the company in the long run (even if the initial cost of designing these skeletons is higher).,Government will not go far enough regulating their use,Government would probably not go far enough in safety testing such technology.,A higher standard than used for workplace equipment,Safety testing should be higher on the list with this technology than it currently is more workplace equipment because it is more directly used by humans.
